order_item_id, order_id, product_id, quantity, unit_price
            1,     1001,          1,        2,      25.00
            2,     1001,          3,        1,      12.50
            3,     1002,          2,        1,      30.00
            4,     1003,          2,        1,      30.00
            5,     1003,          3,        1,      15.00
            6,     1004,          4,        1,      55.00
            7,     1005,          6,        1,      75.00
            8,     1006,         13,        1,      48.00
            9,     1007,          9,        1,     120.00
           10,     1008,         12,        1,      60.00
           11,     1008,          8,        1,      30.00
           12,     1009,         15,        1,      28.00
           13,     1010,         17,        1,     120.00
           14,     1010,         13,        1,      30.00
           15,     1011,          3,        2,      12.50
           16,     1012,         10,        2,      15.00
           17,     1013,          1,        1,      25.00
           18,     1014,         14,        1,      80.00
           19,     1015,          6,        1,      75.00
           20,     1015,          2,        1,      25.00
           21,     1016,         17,        1,     220.00
           22,     1017,         20,        2,       9.00
           23,     1018,         18,        1,      80.00
           24,     1018,         16,        1,      35.00
           25,     1019,         20,        1,       9.00
           26,     1020,          5,        2,      35.00
