order_id, customer_id, order_date, order_status, shipped_date, shipping_city, shipping_state, total_amount
    1001,           1, 2023-06-15, Shipped     , 2023-06-17  , Seattle      , WA            ,        62.50
    1002,           2, 2023-06-18, Shipped     , 2023-06-19  , Portland     , OR            ,        30.00
    1003,           3, 2023-06-20, Cancelled   ,             , San Diego    , CA            ,        45.00
    1004,           4, 2023-06-21, Shipped     , 2023-06-22  , Seattle      , WA            ,        55.00
    1005,           5, 2023-06-22, Shipped     , 2023-06-24  , Los Angeles  , CA            ,        75.00
    1006,           6, 2023-06-24, Shipped     , 2023-06-25  , Portland     , OR            ,        48.00
    1007,           7, 2023-06-27, Shipped     , 2023-06-29  , San Jose     , CA            ,       120.00
    1008,           8, 2023-06-29, Shipped     , 2023-06-30  , San Diego    , CA            ,        90.00
    1009,           9, 2023-07-01, Pending     ,             , Los Angeles  , CA            ,        28.00
    1010,          10, 2023-07-02, Shipped     , 2023-07-04  , Seattle      , WA            ,       150.00
    1011,          11, 2023-07-03, Shipped     , 2023-07-04  , San Diego    , CA            ,        27.50
    1012,          12, 2023-07-04, Shipped     , 2023-07-06  , Portland     , OR            ,        35.00
    1013,          13, 2023-07-06, Shipped     , 2023-07-08  , Seattle      , WA            ,        25.00
    1014,          14, 2023-07-07, Shipped     , 2023-07-09  , Los Angeles  , CA            ,        80.00
    1015,          15, 2023-07-08, Shipped     , 2023-07-10  , San Jose     , CA            ,       100.00
    1016,          16, 2023-07-09, Shipped     , 2023-07-11  , Seattle      , WA            ,       220.00
    1017,          17, 2023-07-10, Shipped     , 2023-07-12  , Portland     , OR            ,        18.00
    1018,          18, 2023-07-12, Shipped     , 2023-07-13  , San Diego    , CA            ,       115.00
    1019,          19, 2023-07-13, Pending     ,             , Los Angeles  , CA            ,         9.00
    1020,          20, 2023-07-14, Shipped     , 2023-07-15  , Seattle      , WA            ,        85.00
